GRT21BR61E226ME13,In Production,22uF,25,X5R,2012M/0805,1.45,+/-20%,Infotainment for Automotive [AEC-Q200]
GXT21BR61E226ME13,In Production,22uF,25,X5R,2012M/0805,1.45,+/-20%,Water repellent/ Infotainment [AEC-Q200]
GRM155C80E226ME11,In Production,22uF,2.5,X6S,1005M/0402,0.7,+/-20%,General Purpose
GRM188C80G226MEA0,In Production,22uF,4,X6S,1608M/0603,1.0,+/-20%,General Purpose
GRM188C80G226ME15,In Production,22uF,4,X6S,1608M/0603,1.0,+/-20%,General Purpose
GRT188C80J226ME13,In Production,22uF,6.3,X6S,1608M/0603,1.0,+/-20%,Infotainment for Automotive [AEC-Q200]
GXM21BC81A226ME44,In Production,22uF,10,X6S,2012M/0805,1.45,+/-20%,Water repellent/ General Purpose
GRM21BC81A226ME44,In Production,22uF,10,X6S,2012M/0805,1.45,+/-20%,General Purpose
GRT21BC81A226ME13,In Production,22uF,10,X6S,2012M/0805,1.45,+/-20%,Infotainment for Automotive [AEC-Q200]
GXT21BC81A226ME13,In Production,22uF,10,X6S,2012M/0805,1.45,+/-20%,Water repellent/ Infotainment [AEC-Q200]
GXM21BC81C226ME44,In Production,22uF,16,X6S,2012M/0805,1.45,+/-20%,Water repellent/ General Purpose
GRM21BC81C226ME44,In Production,22uF,16,X6S,2012M/0805,1.45,+/-20%,General Purpose
GRT31CC81C226KE01,In Production,22uF,16,X6S,3216M/1206,1.8,+/-10%,Infotainment for Automotive [AEC-Q200]
GRM31CC81E226ME11,In Production,22uF,25,X6S,3216M/1206,1.9,+/-20%,General Purpose
GXM31CC81E226ME11,In Production,22uF,25,X6S,3216M/1206,1.9,+/-20%,Water repellent/ General Purpose
GCJ31CR70J226KE01,In Production,22uF,6.3,X7R,3216M/1206,1.9,+/-10%,Powertrain/Safety for Automotive [AEC-Q200]
GCJ31CR70J226ME01,In Production,22uF,6.3,X7R,3216M/1206,1.9,+/-20%,Powertrain/Safety for Automotive [AEC-Q200]
GRT31CR70J226KE13,In Production,22uF,6.3,X7R,3216M/1206,1.8,+/-10%,Infotainment for Automotive [AEC-Q200]
GXT31CR70J226KE13,In Production,22uF,6.3,X7R,3216M/1206,1.8,+/-10%,Water repellent/ Infotainment [AEC-Q200]
GCM31CR70J226ME23,In Production,22uF,6.3,X7R,3216M/1206,1.8,+/-20%,Powertrain/Safety for Automotive [AEC-Q200]
GGM31CR70J226ME23,In Production,22uF,6.3,X7R,3216M/1206,1.8,+/-20%,Water repellent/ Automotive [AEC-Q200]
GCM31CR70J226ME26,In Production,22uF,6.3,X7R,3216M/1206,1.8,+/-20%,Powertrain/Safety for Automotive
GCM32ER71A226KE12,In Production,22uF,10,X7R,3225M/1210,2.7,+/-10%,Powertrain/Safety for Automotive [AEC-Q200]
GCM32ER71A226ME12,In Production,22uF,10,X7R,3225M/1210,2.7,+/-20%,Powertrain/Safety for Automotive [AEC-Q200]
GCM31CR71A226KE01,In Production,22uF,10,X7R,3216M/1206,1.8,+/-10%,Powertrain/Safety for Automotive
GCM31CR71A226KE02,In Production,22uF,10,X7R,3216M/1206,1.8,+/-10%,Powertrain/Safety for Automotive [AEC-Q200]
GCJ31CR71A226KE01,In Production,22uF,10,X7R,3216M/1206,1.9,+/-10%,Powertrain/Safety for Automotive [AEC-Q200]
GCJ31CR71A226ME01,In Production,22uF,10,X7R,3216M/1206,1.9,+/-20%,Powertrain/Safety for Automotive [AEC-Q200]
GGM31CR71A226KE02,In Production,22uF,10,X7R,3216M/1206,1.8,+/-10%,Water repellent/ Automotive [AEC-Q200]
GGM32ER71A226KE12,In Production,22uF,10,X7R,3225M/1210,2.7,+/-10%,Water repellent/ Automotive [AEC-Q200]
GCM32ER71C226ME19,In Production,22uF,16,X7R,3225M/1210,2.7,+/-20%,Powertrain/Safety for Automotive [AEC-Q200]
GCJ32ER71C226KE01,In Production,22uF,16,X7R,3225M/1210,2.8,+/-10%,Powertrain/Safety for Automotive [AEC-Q200]
GCJ32ER71C226ME01,In Production,22uF,16,X7R,3225M/1210,2.8,+/-20%,Powertrain/Safety for Automotive [AEC-Q200]
GCM32ER71C226ME15,In Production,22uF,16,X7R,3225M/1210,2.7,+/-20%,Powertrain/Safety for Automotive
GRM32ER71E226ME15,In Production,22uF,25,X7R,3225M/1210,2.7,+/-20%,General Purpose
GXM32ER71E226ME10,In Production,22uF,25,X7R,3225M/1210,2.7,+/-20%,Water repellent/ General Purpose
KRM55QR71E226KH01,In Production,22uF,25,X7R,5750M/2220,3.9,+/-10%,Metal Terminal General
KCM55QR71E226KH01,In Production,22uF,25,X7R,5750M/2220,3.9,+/-10%,Metal terminal/ Automotive [AEC-Q200]
KRM55QR7YA226KH01,In Production,22uF,35,X7R,5750M/2220,3.9,+/-10%,Metal Terminal General
KRM55TR7YA226MH01,In Production,22uF,35,X7R,5750M/2220,5.0,+/-20%,Metal Terminal General
KCM55QR7YA226KH01,In Production,22uF,35,X7R,5750M/2220,3.9,+/-10%,Metal terminal/ Automotive [AEC-Q200]
KCM55TR7YA226MH01,In Production,22uF,35,X7R,5750M/2220,5.0,+/-20%,Metal terminal/ Automotive [AEC-Q200]
KRM55TR71H226MH01,In Production,22uF,50,X7R,5750M/2220,5.0,+/-20%,Metal Terminal General
KRM55WR71H226MH01,In Production,22uF,50,X7R,5750M/2220,6.7,+/-20%,Metal Terminal General
KCM55TR71H226MH01,In Production,22uF,50,X7R,5750M/2220,5.0,+/-20%,Metal terminal/ Automotive [AEC-Q200]
KCM55WR71H226MH01,In Production,22uF,50,X7R,5750M/2220,6.7,+/-20%,Metal terminal/ Automotive [AEC-Q200]
KRM55WR71J226MH01,In Production,22uF,63,X7R,5750M/2220,6.7,+/-20%,Metal Terminal General
KCM55WR71J226MH01,In Production,22uF,63,X7R,5750M/2220,6.7,+/-20%,Metal terminal/ Automotive [AEC-Q200]
KRM55WR72A226MH01,In Production,22uF,100,X7R,5750M/2220,6.7,+/-20%,Metal Terminal General
KCM55WR72A226MH01,In Production,22uF,100,X7R,5750M/2220,6.7,+/-20%,Metal terminal/ Automotive [AEC-Q200]
KRM55QR7YA176KH01,In Production,17uF,35,X7R,5750M/2220,3.9,+/-10%,Metal Terminal General
KCM55QR7YA176KH01,In Production,17uF,35,X7R,5750M/2220,3.9,+/-10%,Metal terminal/ Automotive [AEC-Q200]
KRM55QR71H176KH01,In Production,17uF,50,X7R,5750M/2220,3.9,+/-10%,Metal Terminal General
KCM55QR71H176KH01,In Production,17uF,50,X7R,5750M/2220,3.9,+/-10%,Metal terminal/ Automotive [AEC-Q200]
KRM55LR71E156KH01,In Production,15uF,25,X7R,5750M/2220,3.0,+/-10%,Metal Terminal General
KCM55LR71E156KH01,In Production,15uF,25,X7R,5750M/2220,3.0,+/-10%,Metal terminal/ Automotive [AEC-Q200]
KRM55LR7YA156KH01,In Production,15uF,35,X7R,5750M/2220,3.0,+/-10%,Metal Terminal General
KCM55LR7YA156KH01,In Production,15uF,35,X7R,5750M/2220,3.0,+/-10%,Metal terminal/ Automotive [AEC-Q200]
KRM55WR72A156MH01,In Production,15uF,100,X7R,5750M/2220,6.7,+/-20%,Metal Terminal General
KCM55WR72A156MH01,In Production,15uF,100,X7R,5750M/2220,6.7,+/-20%,Metal terminal/ Automotive [AEC-Q200]
GRM185R60G106ME15,In Production,10uF,4,X5R,1608M/0603,0.5,+/-20%,General Purpose
GRM155R60G106ME15,In Production,10uF,4,X5R,1005M/0402,0.65,+/-20%,General Purpose
GRM155R60G106ME47,In Production,10uF,4,X5R,1005M/0402,0.5,+/-20%,General Purpose
GRM188R60G106ME47,In Production,10uF,4,X5R,1608M/0603,0.9,+/-20%,General Purpose
GXM188R60G106ME47,In Production,10uF,4,X5R,1608M/0603,0.9,+/-20%,Water repellent/ General Purpose
GRM185R60J106ME15,In Production,10uF,6.3,X5R,1608M/0603,0.5,+/-20%,General Purpose
GRM155R60J106ME15,In Production,10uF,6.3,X5R,1005M/0402,0.65,+/-20%,General Purpose
GRJ155R60J106ME11,In Production,10uF,6.3,X5R,1005M/0402,0.7,+/-20%,Resin external electrode
GRM155R60J106ME47,In Production,10uF,6.3,X5R,1005M/0402,0.5,+/-20%,General Purpose
ZRB15XR60J106ME12,In Production,10uF,6.3,X5R,1005M/0402,0.8,+/-20%,Acoustic noise reduction (interposer)
GRJ188R60J106ME11,In Production,10uF,6.3,X5R,1608M/0603,0.9,+/-20%,Resin external electrode
GRM188R60J106ME47,In Production,10uF,6.3,X5R,1608M/0603,0.9,+/-20%,General Purpose
GXM188R60J106ME47,In Production,10uF,6.3,X5R,1608M/0603,0.9,+/-20%,Water repellent/ General Purpose
GRT188R60J106ME13,In Production,10uF,6.3,X5R,1608M/0603,0.9,+/-20%,Infotainment for Automotive [AEC-Q200]
GXT188R60J106ME13,In Production,10uF,6.3,X5R,1608M/0603,0.9,+/-20%,Water repellent/ Infotainment [AEC-Q200]
GRM188R61A106KAAL,In Production,10uF,10,X5R,1608M/0603,0.95,+/-10%,General Purpose
GRM188R61A106MAAL,In Production,10uF,10,X5R,1608M/0603,0.95,+/-20%,General Purpose
GRJ188R61A106ME11,In Production,10uF,10,X5R,1608M/0603,0.9,+/-20%,Resin external electrode
GXM188R61A106KAAL,In Production,10uF,10,X5R,1608M/0603,0.95,+/-10%,Water repellent/ General Purpose
GRM188R61A106KE69,In Production,10uF,10,X5R,1608M/0603,0.95,+/-10%,General Purpose
GRM188R61A106ME69,In Production,10uF,10,X5R,1608M/0603,0.95,+/-20%,General Purpose
GXM188R61A106MAAL,In Production,10uF,10,X5R,1608M/0603,0.95,+/-20%,Water repellent/ General Purpose
GXM188R61A106ME69,In Production,10uF,10,X5R,1608M/0603,0.95,+/-20%,Water repellent/ General Purpose
GRM188R61C106KAAL,In Production,10uF,16,X5R,1608M/0603,0.95,+/-10%,General Purpose
GRM188R61C106MAAL,In Production,10uF,16,X5R,1608M/0603,0.95,+/-20%,General Purpose
GRM21BR61C106KE15,In Production,10uF,16,X5R,2012M/0805,1.35,+/-10%,General Purpose
GRM21BR61C106ME15,In Production,10uF,16,X5R,2012M/0805,1.35,+/-20%,General Purpose
GXM188R61C106KAAL,In Production,10uF,16,X5R,1608M/0603,0.95,+/-10%,Water repellent/ General Purpose
GXM21BR61C106KE10,In Production,10uF,16,X5R,2012M/0805,1.35,+/-10%,Water repellent/ General Purpose
GXM21BR61C106ME10,In Production,10uF,16,X5R,2012M/0805,1.35,+/-20%,Water repellent/ General Purpose
GRM188R61C106MA73,In Production,10uF,16,X5R,1608M/0603,1.0,+/-20%,General Purpose
GXM188R61C106MAAL,In Production,10uF,16,X5R,1608M/0603,0.95,+/-20%,Water repellent/ General Purpose
KRM21ER61C106KFA1,In Production,10uF,16,X5R,2012M/0805,1.9,+/-10%,Metal Terminal General
GRM21BR61E106KA73,In Production,10uF,25,X5R,2012M/0805,1.4,+/-10%,General Purpose
GRM21BR61E106MA73,In Production,10uF,25,X5R,2012M/0805,1.4,+/-20%,General Purpose
GRJ21BR61E106KE01,In Production,10uF,25,X5R,2012M/0805,1.45,+/-10%,Resin external electrode
ZRB18AR61E106ME01,In Production,10uF,25,X5R,1608M/0603,1.2,+/-20%,Acoustic noise reduction (interposer)
GXM188R61E106MA73,In Production,10uF,25,X5R,1608M/0603,1.0,+/-20%,Water repellent/ General Purpose
GXM21BR61E106KA73,In Production,10uF,25,X5R,2012M/0805,1.4,+/-10%,Water repellent/ General Purpose
GRM188R61E106MA73,In Production,10uF,25,X5R,1608M/0603,1.0,+/-20%,General Purpose
GXM21BR61E106MA73,In Production,10uF,25,X5R,2012M/0805,1.4,+/-20%,Water repellent/ General Purpose
